Coin,mean,sum,count
@1,14.610183470588236,496.746238,34
@10,-0.015871,-0.063484,4
@100,6.9067855,27.627142,4
@103,5.508290857142858,38.558036,7
@107,92.82184979381168,2783912.919016,29992
@109,270.704207,5414.08414,20
@11,0.0,0.0,1
@112,-7.444960571428571,-52.114723999999995,7
@113,3.385244,16.92622,5
@114,0.6545385,1.309077,2
@116,0.3445898,1.722949,5
@117,1.15792225,4.631689,4
@12,0.0,0.0,3
@123,0.0,0.0,163
@124,-16.0754845,-128.603876,8
@125,12.767743689655173,370.264567,29
@13,-0.04126333333333333,-0.12379,3
@135,-5981.36399,-5981.36399,1
@138,12.737671,50.950684,4
@14,0.0,0.0,17
@142,5.69164222459893,7450.359672,1309
@147,-70.1265388,-350.632694,5
@15,0.0,0.0,2
@151,35.75260113888889,11583.842769,324
@152,0.006818159090909091,0.599998,88
@153,0.34526536274509806,35.217067,102
@16,-0.01510725,-0.060429,4
@17,0.0,0.0,1
@18,0.0,0.0,1
@19,0.0,0.0,2
@2,-0.1815892,-0.907946,5
@20,0.12148943589743588,4.738087999999999,39
@21,0.0,0.0,1
@23,0.0,0.0,34
@24,-0.0009786666666666665,-0.002936,3
@25,0.0,0.0,1
@26,-0.025801799999999996,-0.25801799999999997,10
@28,0.0,0.0,2
@29,-0.013062333333333334,-0.078374,6
@3,0.020109304347826085,0.462514,23
@30,0.0,0.0,1
@31,11.070757666666667,33.212273,3
@32,0.0,0.0,1
@33,3.39173225,13.566929,4
@34,0.0,0.0,2
@35,16.75703175,67.028127,4
@36,5.221024333333333,15.663073,3
@37,22.989169307692308,298.859201,13
@38,3.6968881111111114,33.271993,9
@39,6.119278,12.238556,2
@4,-0.10843387231638418,-95.963977,885
@40,1.3499647777777777,12.149683,9
@41,7.347688,36.73844,5
@42,0.0,0.0,1
@44,0.0,0.0,3
@45,0.0,0.0,1
@46,0.0,0.0,3
@47,12.5783645,50.313458,4
@48,0.0,0.0,1
@49,-8.1424434,-40.712216999999995,5
@51,-1.5039844363636363,-330.876576,220
@53,16.966176750000002,67.86470700000001,4
@59,55.58925232608696,2557.105607,46
@6,0.0,0.0,1
@61,0.0,0.0,1
@63,-10.331773,-20.663546,2
@68,0.0,0.0,1
@7,0.0,0.0,1
@74,41.29258322222222,371.633249,9
@78,0.0,0.0,15
@8,0.589567134057971,162.720529,276
@83,-30.212037638888887,-1087.633355,36
@85,200.80409097727272,26506.140009,132
@86,0.0,0.0,1
@9,-19.521629666666666,-58.564889,3
@93,7.977398,15.954796,2
@95,-14.7190305,-29.438061,2
AAVE,12.794885442735042,7485.007984,585
ACE,110.4285964,2760.71491,25
ADA,-48.38805846815835,-28113.46197,581
AI,1.8593363921568626,94.826156,51
AI16Z,14.859912348148148,8024.352668,540
AIXBT,90.00264822344322,73712.168895,819
ALGO,2.6233600000000004,18.36352,7
ALT,23.577118650602408,5870.702544,249
ANIME,32.29887580454545,21317.258031,660
APE,14.062731127167629,9731.40994,692
APT,15.343771622807019,1749.189965,114
AR,15.644784615384614,203.38219999999998,13
ARB,65.54136095238096,9634.58006,147
ARK,0.755258,27.189288,36
ATOM,1.116889417721519,88.234264,79
AVAX,239.09561309405942,48297.313845000004,202
BABY,32.909933333333335,98.7298,3
BADGER,7.577543331578947,1439.733233,190
BANANA,-10.185648500000001,-81.48518800000001,8
BERA,69.91437057590133,73689.746587,1054
BIGTIME,36.049885686274514,1838.5441700000001,51
BIO,7.638307376470588,1298.512254,170
BLAST,10.718410576271186,632.386224,59
BLUR,42.98883519230769,3353.129145,78
BNB,1.9435959743589741,303.200972,156
BNT,-1.760528,-17.60528,10
BOME,1.5310127500000001,12.248102000000001,8
BRETT,6.608878365517241,958.287363,145
BTC,33.30435591766421,868044.732638,26064
CAKE,17.63528881034483,1022.846751,58
CANTO,-18.849813000000005,-188.49813000000003,10
CHILLGUY,21.989742260465118,4727.794586,215
COMP,29.625242357894738,2814.398024,95
CRV,-9.05596018115942,-1249.722505,138
CYBER,95.7648,191.5296,2
DOGE,178.6236761912833,147543.156534,826
DOT,2.6147012567567565,193.48789299999999,74
DYDX,3.5706257284768212,539.164485,151
DYM,6.467965421052632,122.891343,19
EIGEN,197.06318894545456,65030.852352,330
ENA,219.52475106464647,217329.503554,990
ENS,-1.7803399999999998,-7.121359999999999,4
ETC,41.009696000000005,205.04848,5
ETH,118.29887424735615,1319978.838852,11158
ETHFI,141.2508233890675,43929.006074,311
FARTCOIN,-21.653164125806452,-100687.213185,4650
FET,4.6768448979591835,229.1654,49
FIL,-7.055718000000001,-35.27859,5
FTM,77.70973278651685,6916.166218,89
FTT,4.429079337820513,6909.363767,1560
FXS,-1.2072248712871287,-121.92971200000001,101
GALA,4.491171317073171,184.138024,41
GAS,30.30695,60.6139,2
GMT,3.1599013557692306,328.62974099999997,104
GMX,5.828614283333334,699.433714,120
GOAT,78.29751096153846,8142.94114,104
GRASS,6.235189,1253.272989,201
GRIFFAIN,12.619466183274023,7092.139995,562
HBAR,8.023143126050421,1909.508064,238
HPOS,15.83470024,1979.33753,125
HYPE,28.65207852012352,1948484.599761,68005
HYPER,28.208829032258066,874.4737,31
ILV,33.39059594339623,5309.104755,159
IMX,10.192755471698112,540.2160399999999,53
INIT,11.758087096774194,364.5007,31
INJ,37.466951886075954,5919.778398,158
IO,-62.198609426136365,-21893.910518,352
IOTA,-0.350692,-2.454844,7
IP,6.488887215351813,3043.288104,469
JELLY,35.47753653629032,35193.716244,992
JTO,55.28396396268657,7408.051171,134
JUP,66.62922875310558,42909.223316999996,644
KAITO,-20.080783818390803,-8735.140961,435
LAYER,42.87957133891213,20496.4351,478
LDO,2.8157978990825687,306.921971,109
LINK,12.960840546478872,4601.098394,355
LISTA,2.23487,4.46974,2
LOOM,43.011410999999995,215.057055,5
LTC,29.456248816753927,5626.143524,191
MANTA,15.454676104166666,1483.648906,96
MATIC,17.603447815789472,668.931017,38
MAV,0.00945,0.0189,2
MAVIA,27.709060553691273,8257.300045,298
ME,32.8112703647541,16011.899938,488
MELANIA,88.15516482746162,390351.069856,4428
MEME,41.65607869158879,4457.20042,107
MERL,-1.58682,-3.17364,2
MEW,2.705173333333333,32.46208,12
MINA,24.8380625,198.7045,8
MKR,14.9082054,1416.279513,95
MNT,-2.632147125,-21.057177,8
MOODENG,151.09671353271028,16167.348348000001,107
MORPHO,10.546775325,421.871013,40
MOVE,21.00733226229508,2562.894536,122
MYRO,3.5651780000000004,53.47767,15
NEAR,62.589847439461884,13957.535979,223
NEIROETH,17.080789,34.161578,2
NIL,-14.049883340707964,-3175.273635,226
NTRN,16.179385404040403,1601.759155,99
OGN,6.793288457364341,1752.668422,258
OM,-18.025216813953488,-775.0843229999999,43
ONDO,16.794822218045113,24570.824905,1463
OP,46.69535819075145,8078.296967,173
ORDI,2.5536826153846155,99.593622,39
PAXG,-14.773813698814228,-18688.874329,1265
PENDLE,6.6202658695278975,7712.609738,1165
PENGU,5.628199855447681,5217.341266,927
PEOPLE,180.3230025,360.646005,2
PIXEL,17.647591304347824,405.89459999999997,23
PNUT,25.332703721843004,14844.964381,586
POLYX,44.15240592857143,618.133683,14
POPCAT,-6.876893985243055,-7922.181871,1152
PROMPT,19.023809416,2377.976177,125
PURR,22.342533557595992,26766.355202,1198
PURR/USDC,27.130878882119685,75261.058019,2774
PYTH,12.242411221476509,1824.119272,149
RENDER,26.069479726495725,6100.258256,234
REQ,0.2603861052631579,4.947336,19
REZ,5.824474285714286,163.08528,28
RLB,18.986934,75.947736,4
RNDR,77.08137817045454,13566.322558,176
RSR,5.169729,165.431328,32
RUNE,19.392512804347827,6244.389123,322
S,-60.033650819444446,-8644.845718,144
SAND,10.797258180487805,2213.437927,205
SCR,50.40548,1612.97536,32
SEI,42.37352113191489,9957.777466,235
SHIA,54.7137286,273.568643,5
SOL,153.35851908203162,1639555.927506,10691
SPX,62.36478998888889,5612.831099,90
STG,25.649108571428574,179.54376000000002,7
STRK,-31.6120003125,-1517.376015,48
STX,12.3741093125,1583.885992,128
SUI,100.69168010207176,199268.834922,1979
SUPER,3.5197902,35.197902,10
SUSHI,5.711716273584905,605.441925,106
TAO,15.543383059149724,16817.94047,1082
TIA,40.439435571428575,13021.498254,322
TNSR,7.368347425685426,5106.264766,693
TON,-0.6032903333333334,-18.09871,30
TRUMP,-190.01297300989583,-364824.908179,1920
TRX,8.377018799999998,670.1615039999999,80
TST,20.351481024242425,3357.994369,165
TURBO,102.89313185542169,8540.129944,83
UNI,5.701082049180328,347.766005,61
UNIBOT,81.26394225,325.055769,4
USTC,6.9338634,346.69317,50
USUAL,116.44137665050167,69631.943237,598
VINE,5.890570540073982,4777.252708,811
VIRTUAL,34.28856404912281,19544.481508,570
VVV,26.034087270588234,2212.897418,85
W,2.692157910472973,1593.757483,592
WCT,32.589900425531916,1531.72532,47
WIF,31.088584010380625,8984.600779,289
WLD,11.236470073625819,22281.920156,1983
XAI,134.276725875,1074.213807,8
XRP,2.117757308342728,3756.901464999999,1774
YGG,28.20965637837838,1043.757286,37
ZEN,-49.17969023333333,-1475.390707,30
ZEREBRO,27.52526043953186,21166.925278,769
ZETA,18.86776122857143,4622.601501,245
ZK,1.7795838035714286,99.656693,56
ZORA,44.84547914473684,6816.51283,152
ZRO,148.3275090306699,183777.783689,1239
kBONK,21.585455540983606,35551.245276,1647
kFLOKI,45.92674642857143,1607.436125,35
kNEIRO,1.0638874,5.319437000000001,5
kPEPE,10.795952187283238,18676.997284,1730
kSHIB,7.753812888888888,279.13726399999996,36
